Title_URL,Image,About_Course,Duration,Price,Instructor,Rating,Title,Category
https://www.coursera.org/professional-certificates/tensorflow-in-practice,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/b4/5cb90bb92f420b99bf323a0356f451/Icon.png?auto=format%2Ccompress&dpr=1,"Best practices for TensorFlow, a popular open-source machine learning framework to train a neural network for a computer vision applications..",4 months at 5 hours per week,449,Laurence Moroney,4.7,DeepLearning.AI TensorFlow Developer Professional Certificate,Data Science
https://www.coursera.org/professional-certificates/microsoft-azure-dp-203-data-engineering,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/cc/61dbdf2c1c475d82d3b8bf8eee1bda/MSFT-stacked-logo_FINAL.png?auto=format%2Ccompress&dpr=1,Launch Your Career in Data Engineering. Master designing and implementing data solutions that use Microsoft Azure data services.,7 months at 2 hours per week,449,Microsoft,4.3,Microsoft Azure Data Engineering Associate (DP-203) Professional Certificate,Data Science
https://www.coursera.org/professional-certificates/ibm-machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=1,Prepare for a career in machine learning. Gain the in-demand skills and hands-on experience to get job-ready in less than 3 months..,3 months at 5 hours per week,449,Kopal Garg,4.6,IBM Machine Learning Professional Certificate,Data Science
https://www.coursera.org/professional-certificates/sas-advanced-programmer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/1f/b72625a1b2498f916b06ae0081b5c9/sas_square.png?auto=format%2Ccompress&dpr=1,Grow Your Career with a SAS® Credential. Master the skills required for the SAS® Advanced Programming Professional certification..,"5 months, 3 hours per week",449,Peter Styliadis,4.8,SAS Advanced Programmer Professional Certificate,Data Science
https://www.coursera.org/professional-certificates/certified-data-science-practitioner,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/ea/bed5f04a054e87bb138db8c6892072/Square-Logo-for-Partner-Landing-Page.png?auto=format%2Ccompress&dpr=1,Launch Your Career in Data Science. Master strategies to implement Data Science techniques in order to solve business problems..,6 months at 4 hours per week,449,Sarah Haq,4.7,CertNexus Certified Data Science Practitioner Professional Certificate,Data Science
https://www.coursera.org/professional-certificates/certified-ethical-emerging-technologist,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/ea/bed5f04a054e87bb138db8c6892072/Square-Logo-for-Partner-Landing-Page.png?auto=format%2Ccompress&dpr=1,"Be an Ethical Leader in Data-Driven Technologies. Master strategies to put ethics into practice in data-driven technologies such as Artificial Intelligence, Data Science, and Internet of Things..",6 months at 3 hours per week,449,Eleanor 'Nell' Watson and others,4.7,CertNexus Certified Ethical Emerging Technologist Professional Certificate,Data Science
https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=1,"Kickstart your career in artificial intelligence. Learn Python, build a chatbot, explore machine learning and computer vision, and leverage IBM Watson..",3 months at 12 hours per week,449,Abhishek Gagneja and others,4.6,IBM Applied AI Professional Certificate,Data Science
https://www.coursera.org/professional-certificates/gcp-data-engineering,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4e/c2f4c0f4bb11e69a33576c875f4294/cloud-twitter-avatar.png?auto=format%2Ccompress&dpr=1,Advance your career in data engineering.,1.5 months at 5 hours per week,449,Google Cloud Training,4.6,Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate,Data Science
https://www.coursera.org/professional-certificates/sas-programming,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/1f/b72625a1b2498f916b06ae0081b5c9/sas_square.png?auto=format%2Ccompress&dpr=1,Launch Your Career with a SAS® Credential. Master the skills required for the SAS® Base Programmer certification..,2 months at 14 hours per week,449,Peter Styliadis,4.8,SAS Programmer Professional Certificate,Data Science
https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/cc/61dbdf2c1c475d82d3b8bf8eee1bda/MSFT-stacked-logo_FINAL.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a cybersecurity professional.,6 months at 10 hours per week,449,Microsoft,4.8,Microsoft Cybersecurity Analyst Professional Certificate,IT
